date,sales,product,quantity,customer,unit_price
2025-02-01,27.76,Bread,1,CUST0132,27.76
2025-02-01,143.38,Basmati Rice,2,CUST0252,71.69
2025-02-01,224.74,Fish,1,CUST0246,224.74
2025-02-01,91.79,Biscuits,3,CUST0252,30.6
2025-02-01,64.48,Yogurt,1,CUST0128,64.48
2025-02-01,200.45,Coffee,1,CUST0259,200.45
2025-02-01,88.02,Fruits,1,CUST0235,88.02
2025-02-01,123.05,Tomatoes,3,CUST0115,41.02
2025-02-01,86.08,Basmati Rice,1,CUST0262,86.08
2025-02-01,31.44,Biscuits,1,CUST0118,31.44
2025-02-01,105.41,Tea,1,CUST0131,105.41
2025-02-01,119.73,Tea,1,CUST0008,119.73
2025-02-01,184.04,Yogurt,3,CUST0147,61.35
2025-02-01,108.69,Yogurt,2,CUST0254,54.35
2025-02-01,340.24,Pulses,3,CUST0257,113.41
2025-02-01,397.36,Basmati Rice,5,CUST0197,79.47
2025-02-01,155.98,Yogurt,3,CUST0075,51.99
2025-02-01,54.7,Biscuits,2,CUST0113,27.35
2025-02-01,458.03,Fish,2,CUST0006,229.02
2025-02-01,25.83,Onions,1,CUST0108,25.83
2025-02-01,89.02,Vegetables,2,CUST0222,44.51
2025-02-01,78.74,Basmati Rice,1,CUST0291,78.74
2025-02-01,83.04,Tomatoes,2,CUST0119,41.52
2025-02-02,315.59,Pulses,3,CUST0019,105.2
2025-02-02,80.6,Basmati Rice,1,CUST0176,80.6
2025-02-02,27.1,Potatoes,1,CUST0165,27.1
2025-02-02,136.34,Fruits,2,CUST0184,68.17
2025-02-02,54.04,Bread,2,CUST0137,27.02
2025-02-02,86.52,Spices Mix,1,CUST0282,86.52
2025-02-02,21.87,Potatoes,1,CUST0121,21.87
2025-02-02,151.23,Fruits,2,CUST0132,75.61
2025-02-02,135.0,Tea,1,CUST0232,135.0
2025-02-02,38.36,Tomatoes,1,CUST0172,38.36
2025-02-02,195.32,Pulses,2,CUST0129,97.66
2025-02-02,41.81,Vegetables,1,CUST0231,41.81
2025-02-02,73.51,Tomatoes,2,CUST0144,36.76
2025-02-02,84.99,Basmati Rice,1,CUST0054,84.99
2025-02-02,96.71,Biscuits,3,CUST0029,32.24
2025-02-02,106.94,Tea,1,CUST0256,106.94
2025-02-02,113.98,Milk,2,CUST0220,56.99
2025-02-02,274.85,Tea,2,CUST0119,137.43
2025-02-02,160.18,Biscuits,5,CUST0134,32.04
2025-02-02,24.69,Potatoes,1,CUST0019,24.69
2025-02-02,93.54,Pulses,1,CUST0275,93.54
2025-02-02,77.45,Vegetables,2,CUST0049,38.72
2025-02-02,92.83,Biscuits,3,CUST0078,30.94
2025-02-03,108.42,Tea,1,CUST0192,108.42
2025-02-03,132.68,Cooking Oil,1,CUST0177,132.68
2025-02-03,28.32,Bread,1,CUST0251,28.32
2025-02-03,31.25,Onions,1,CUST0160,31.25
2025-02-03,101.26,Milk,2,CUST0219,50.63
2025-02-03,5.11,Eggs,1,CUST0281,5.11
2025-02-03,134.31,Milk,3,CUST0172,44.77
2025-02-03,79.59,Onions,3,CUST0138,26.53
2025-02-03,74.92,Tomatoes,2,CUST0132,37.46
2025-02-03,29.61,Onions,1,CUST0078,29.61
2025-02-03,22.23,Bread,1,CUST0058,22.23
2025-02-03,82.9,Potatoes,3,CUST0093,27.63
2025-02-03,143.87,Basmati Rice,2,CUST0193,71.93
2025-02-03,56.08,Biscuits,2,CUST0043,28.04
2025-02-03,84.85,Vegetables,2,CUST0293,42.42
2025-02-03,62.85,Biscuits,2,CUST0088,31.43
2025-02-03,91.5,Spices Mix,1,CUST0261,91.5
2025-02-03,79.72,Spices Mix,1,CUST0011,79.72
2025-02-04,232.56,Sugar,5,CUST0060,46.51
2025-02-04,155.2,Basmati Rice,2,CUST0247,77.6
2025-02-04,45.61,Wheat Flour,1,CUST0211,45.61
2025-02-04,168.27,Fruits,2,CUST0038,84.13
2025-02-04,42.76,Vegetables,1,CUST0140,42.76
2025-02-04,139.82,Cooking Oil,1,CUST0292,139.82
2025-02-04,305.71,Cooking Oil,2,CUST0062,152.86
2025-02-04,143.07,Basmati Rice,2,CUST0232,71.54
2025-02-04,311.94,Chicken,2,CUST0073,155.97
2025-02-04,198.91,Wheat Flour,5,CUST0136,39.78
2025-02-04,67.84,Yogurt,1,CUST0064,67.84
2025-02-04,190.24,Chicken,1,CUST0255,190.24
2025-02-04,32.41,Onions,1,CUST0182,32.41
2025-02-04,73.76,Potatoes,3,CUST0268,24.59
2025-02-04,81.09,Basmati Rice,1,CUST0043,81.09
2025-02-04,84.54,Tomatoes,2,CUST0055,42.27
2025-02-04,196.9,Coffee,1,CUST0130,196.9
2025-02-05,104.76,Tea,1,CUST0200,104.76
2025-02-05,95.32,Sugar,2,CUST0072,47.66
2025-02-05,66.04,Biscuits,2,CUST0215,33.02
2025-02-05,135.53,Tea,1,CUST0016,135.53
2025-02-05,45.92,Wheat Flour,1,CUST0294,45.92
2025-02-05,269.72,Fruits,3,CUST0144,89.91
2025-02-05,137.26,Tea,1,CUST0201,137.26
2025-02-05,71.73,Fruits,1,CUST0271,71.73
2025-02-05,220.44,Tomatoes,5,CUST0266,44.09
2025-02-05,29.16,Onions,1,CUST0044,29.16
2025-02-05,89.02,Vegetables,2,CUST0063,44.51
2025-02-05,87.41,Vegetables,2,CUST0028,43.71
2025-02-05,137.96,Milk,3,CUST0115,45.99
2025-02-05,315.35,Chicken,2,CUST0294,157.68
2025-02-05,108.94,Tea,1,CUST0163,108.94
2025-02-05,85.54,Bread,3,CUST0257,28.51
2025-02-05,45.73,Tomatoes,1,CUST0199,45.73
2025-02-05,39.35,Tomatoes,1,CUST0129,39.35
2025-02-06,26.27,Potatoes,1,CUST0264,26.27
2025-02-06,47.88,Milk,1,CUST0266,47.88
2025-02-06,76.74,Wheat Flour,2,CUST0256,38.37
2025-02-06,39.7,Wheat Flour,1,CUST0001,39.7
2025-02-06,139.02,Biscuits,5,CUST0284,27.8
2025-02-06,95.02,Biscuits,3,CUST0168,31.67
2025-02-06,47.9,Sugar,1,CUST0075,47.9
2025-02-06,250.84,Tea,2,CUST0179,125.42
2025-02-06,168.45,Fruits,2,CUST0248,84.22
2025-02-06,134.49,Tea,1,CUST0031,134.49
2025-02-06,72.23,Basmati Rice,1,CUST0229,72.23
2025-02-06,80.91,Sugar,2,CUST0043,40.46
2025-02-07,43.74,Bread,2,CUST0213,21.87
2025-02-07,101.03,Onions,3,CUST0300,33.68
2025-02-07,156.36,Basmati Rice,2,CUST0223,78.18
2025-02-07,56.65,Bread,2,CUST0242,28.33
2025-02-07,127.89,Biscuits,5,CUST0144,25.58
2025-02-07,52.24,Milk,1,CUST0148,52.24
2025-02-07,52.53,Yogurt,1,CUST0189,52.53
2025-02-07,97.18,Sugar,2,CUST0138,48.59
2025-02-07,44.27,Tomatoes,1,CUST0099,44.27
2025-02-07,122.55,Yogurt,2,CUST0115,61.28
